epoch,train_acc_ternary,train_acc_rel,train_acc_norel,train_acc_ternary,test_acc_rel,test_acc_norel
1,41.779003267973856,39.03186274509804,45.36356209150327,47.395833333333336,47.916666666666664,55.729166666666664
2,50.46977124183007,46.12949346405229,51.64419934640523,48.4375,48.958333333333336,55.729166666666664
3,52.35906862745098,49.79575163398693,53.66625816993464,49.479166666666664,53.645833333333336,48.958333333333336
4,52.236519607843135,53.033088235294116,55.68831699346405,44.791666666666664,47.916666666666664,56.770833333333336
5,52.56331699346405,55.11642156862745,55.892565359477125,48.4375,51.5625,49.479166666666664
6,53.20669934640523,57.25081699346405,56.18872549019608,46.875,47.916666666666664,58.333333333333336
7,53.298611111111114,60.763888888888886,55.46364379084967,46.354166666666664,55.729166666666664,56.770833333333336
8,53.90114379084967,62.18341503267974,56.16830065359477,46.354166666666664,56.25,56.770833333333336
9,53.51307189542484,63.756127450980394,57.14869281045752,47.916666666666664,58.333333333333336,55.729166666666664
10,53.62540849673203,65.625,56.33169934640523,43.75,61.458333333333336,53.645833333333336
11,53.78880718954248,66.6156045751634,56.79125816993464,47.916666666666664,53.645833333333336,56.25
12,54.05433006535948,68.14746732026144,57.86356209150327,49.479166666666664,55.208333333333336,52.604166666666664
13,53.850081699346404,68.60702614379085,57.8125,51.041666666666664,63.541666666666664,56.770833333333336
14,54.43218954248366,69.98570261437908,58.088235294117645,46.354166666666664,60.9375,53.125
15,54.57516339869281,70.50653594771242,57.92483660130719,43.75,58.333333333333336,57.291666666666664
16,54.65686274509804,70.79248366013071,57.59803921568628,44.270833333333336,57.291666666666664,57.8125
17,55.26960784313726,71.21119281045752,58.77246732026144,53.125,57.291666666666664,55.729166666666664
18,55.91299019607843,71.84436274509804,58.89501633986928,54.6875,56.770833333333336,50.520833333333336
19,55.93341503267974,71.52777777777777,59.48733660130719,46.354166666666664,63.541666666666664,53.125
20,55.68831699346405,72.4468954248366,59.76307189542484,54.166666666666664,56.770833333333336,57.8125
